,category,URL
0,"Arts, Crafts & Sewing",https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing/zgbs/arts-crafts/ref=zg_bs_unv_ac_1_12898821_1
1,Adhesive Vinyl,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Craft-Adhesive-Vinyl/zgbs/arts-crafts/8090958011/ref=zg_bs_nav_ac_2_12898821
2,Adhesives,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Scrapbooking-Adhesives/zgbs/arts-crafts/8090716011/ref=zg_bs_nav_ac_2_12898821
3,Albums & Refills,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Scrapbooking-Albums-Refills/zgbs/arts-crafts/12898831/ref=zg_bs_nav_ac_2_12898821
4,Chipboard,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Scrapbooking-Chipboard/zgbs/arts-crafts/3298703011/ref=zg_bs_nav_ac_2_12898821
5,Cutting Mats,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Quilting-Cutting-Mats/zgbs/arts-crafts/262643011/ref=zg_bs_nav_ac_2_12898821
6,Die-Cutting & Embossing,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Scrapbooking-Die-Cutting-Embossing/zgbs/arts-crafts/262675011/ref=zg_bs_nav_ac_2_12898821
7,Kits,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Scrapbooking-Kits/zgbs/arts-crafts/262679011/ref=zg_bs_nav_ac_2_12898821
8,Paper & Card Stock,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Scrapbooking-Paper-Card-Stock/zgbs/arts-crafts/8090718011/ref=zg_bs_nav_ac_2_12898821
9,Paper Punches,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Paper-Punches/zgbs/arts-crafts/12898081/ref=zg_bs_nav_ac_2_12898821
10,Pens & Markers,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Scrapbooking-Pens-Markers/zgbs/arts-crafts/8090719011/ref=zg_bs_nav_ac_2_12898821
11,Photo Transfer & Coloring Supplies,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Scrapbooking-Photo-Transfer-Coloring/zgbs/arts-crafts/12898411/ref=zg_bs_nav_ac_2_12898821
12,Scrapbooking Embellishments,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Scrapbooking-Embellishments-Decorations/zgbs/arts-crafts/8090717011/ref=zg_bs_nav_ac_2_12898821
13,Scrapbooking Tools,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Scrapbooking-Tools/zgbs/arts-crafts/12898921/ref=zg_bs_nav_ac_2_12898821
14,Stamps & Ink Pads,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Decorative-Rubber-Stamps-Ink-Pads/zgbs/arts-crafts/12898931/ref=zg_bs_nav_ac_2_12898821
15,Stickers & Sticker Machines,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Scrapbooking-Stickers-Sticker-Machines/zgbs/arts-crafts/12898951/ref=zg_bs_nav_ac_2_12898821
16,Storage,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Scrapbooking-Storage-Products/zgbs/arts-crafts/262669011/ref=zg_bs_nav_ac_2_12898821
17,Stencils & Templates,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Stencils-Templates-Accessories/zgbs/arts-crafts/18262429011/ref=zg_bs_nav_ac_2_12898821
18,Photo Albums,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Photo-Albums/zgbs/arts-crafts/21557028011/ref=zg_bs_nav_ac_2_12898821
