,category,URL
0,"Arts, Crafts & Sewing",https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing/zgbs/arts-crafts/ref=zg_bs_unv_ac_1_12897221_1
1,Ball Winders,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Weaving-Ball-Winders/zgbs/arts-crafts/12899581/ref=zg_bs_nav_ac_2_12897221
2,Crochet Hooks,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Crochet-Hooks/zgbs/arts-crafts/262612011/ref=zg_bs_nav_ac_2_12897221
3,Crochet Kits,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Crochet-Kits/zgbs/arts-crafts/262613011/ref=zg_bs_nav_ac_2_12897221
4,Crochet Patterns,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Crochet-Patterns/zgbs/arts-crafts/8090904011/ref=zg_bs_nav_ac_2_12897221
5,Crochet Thread,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Crochet-Thread/zgbs/arts-crafts/8291666011/ref=zg_bs_nav_ac_2_12897221
6,Knitting & Crochet Notions,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Knitting-Crochet-Notions/zgbs/arts-crafts/5007594011/ref=zg_bs_nav_ac_2_12897221
7,Knitting Kits,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Knitting-Kits/zgbs/arts-crafts/262623011/ref=zg_bs_nav_ac_2_12897221
8,Knitting Looms & Boards,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Knitting-Looms-Boards/zgbs/arts-crafts/8090898011/ref=zg_bs_nav_ac_2_12897221
9,Knitting Needles,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Knitting-Needles/zgbs/arts-crafts/262624011/ref=zg_bs_nav_ac_2_12897221
10,Knitting Patterns,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Knitting-Patterns/zgbs/arts-crafts/8090900011/ref=zg_bs_nav_ac_2_12897221
11,Needle Cases,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Knitting-Crochet-Needle-Cases/zgbs/arts-crafts/8090902011/ref=zg_bs_nav_ac_2_12897221
12,Yarn,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Yarn/zgbs/arts-crafts/262625011/ref=zg_bs_nav_ac_2_12897221
13,Yarn Storage,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Yarn-Storage/zgbs/arts-crafts/262671011/ref=zg_bs_nav_ac_2_12897221
