,category,URL
0,Health & Household,https://www.amazon.com/Best-Sellers-Health-Personal-Care/zgbs/hpc/ref=zg_bs_unv_hpc_1_353413011_1
1,Baby & Child Care,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Baby-Child-Products/zgbs/hpc/10787321/ref=zg_bs_nav_hpc_2_353413011
2,Health Care,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Products/zgbs/hpc/3760941/ref=zg_bs_nav_hpc_2_353413011
3,House Supplies,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Household-Supplies/zgbs/hpc/15342811/ref=zg_bs_nav_hpc_2_353413011
4,Medical Supplies & Equipment,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Home-Use-Medical-Supplies-Equipment/zgbs/hpc/3775161/ref=zg_bs_nav_hpc_2_353413011
5,Oral Care,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Oral-Products/zgbs/hpc/10079992011/ref=zg_bs_nav_hpc_2_353413011
6,Personal Care,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Products/zgbs/hpc/3777891/ref=zg_bs_nav_hpc_2_353413011
7,Sexual Wellness,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Sexual-Wellness-Products/zgbs/hpc/3777371/ref=zg_bs_nav_hpc_2_353413011
8,Sports Nutrition,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Sports-Nutrition-Products/zgbs/hpc/6973663011/ref=zg_bs_nav_hpc_2_353413011
9,Vision Care,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Vision-Products/zgbs/hpc/10079994011/ref=zg_bs_nav_hpc_2_353413011
10,Vitamins & Dietary Supplements,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Vitamins-Dietary-Supplements/zgbs/hpc/3764441/ref=zg_bs_nav_hpc_2_353413011
11,Wellness & Relaxation,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Wellness-Relaxation-Products/zgbs/hpc/10079996011/ref=zg_bs_nav_hpc_2_353413011
