,category,URL
0,"Arts, Crafts & Sewing",https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing/zgbs/arts-crafts/ref=zg_bs_unv_ac_1_12899121_1
1,Beading & Jewelry Making,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Beading-Jewelry-Making/zgbs/arts-crafts/12896081/ref=zg_bs_nav_ac_2_12899121
2,Craft Supplies,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Craft-Supplies-Materials/zgbs/arts-crafts/378733011/ref=zg_bs_nav_ac_2_12899121
3,Fabric Painting & Dyeing,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Fabric-Decorating/zgbs/arts-crafts/12896841/ref=zg_bs_nav_ac_2_12899121
4,Knitting & Crochet,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Knitting-Crochet-Supplies/zgbs/arts-crafts/12897221/ref=zg_bs_nav_ac_2_12899121
5,Needlework,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Needlework-Supplies/zgbs/arts-crafts/2237329011/ref=zg_bs_nav_ac_2_12899121
6,Organization & Storage,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Storage/zgbs/arts-crafts/2237594011/ref=zg_bs_nav_ac_2_12899121
7,"Painting, Drawing & Art Supplies",https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Painting-Drawing-Art-Supplies/zgbs/arts-crafts/2747968011/ref=zg_bs_nav_ac_2_12899121
8,Photo Transfer & Coloring Supplies,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Scrapbooking-Photo-Transfer-Coloring/zgbs/arts-crafts/12898411/ref=zg_bs_nav_ac_2_12899121
9,Printmaking,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Printmaking-Supplies/zgbs/arts-crafts/12898451/ref=zg_bs_nav_ac_2_12899121
10,Scrapbooking,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Scrapbooking-Stamping-Supplies/zgbs/arts-crafts/12898821/ref=zg_bs_nav_ac_2_12899121
11,Sewing,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Products/zgbs/arts-crafts/12899091/ref=zg_bs_nav_ac_2_12899121
12,Thread & Floss,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Thread-Floss/zgbs/arts-crafts/12897331/ref=zg_bs_nav_ac_2_12899121
13,Yarn,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Yarn/zgbs/arts-crafts/262625011/ref=zg_bs_nav_ac_2_12899121
