,category,URL
0,Grocery & Gourmet Food,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food/zgbs/grocery/ref=zg_bs_unv_gro_1_15709227011_1
1,Alcoholic Beverages,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Alcoholic-Beverages/zgbs/grocery/2983371011/ref=zg_bs_nav_gro_2_15709227011
2,Baby Foods,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Baby-Foods/zgbs/grocery/16323111/ref=zg_bs_nav_gro_2_15709227011
3,Beverages,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Beverages/zgbs/grocery/16310231/ref=zg_bs_nav_gro_2_15709227011
4,Breads & Bakery,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Breads-Bakery/zgbs/grocery/16318751/ref=zg_bs_nav_gro_2_15709227011
5,Breakfast Foods,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Breakfast-Foods/zgbs/grocery/16310251/ref=zg_bs_nav_gro_2_15709227011
6,Candy & Chocolate,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Candy-Chocolate/zgbs/grocery/16322461/ref=zg_bs_nav_gro_2_15709227011
7,"Dairy, Cheese & Eggs",https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Dairy-Cheese-Eggs/zgbs/grocery/371460011/ref=zg_bs_nav_gro_2_15709227011
8,Deli & Prepared Foods,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Deli-Prepared-Foods/zgbs/grocery/18773724011/ref=zg_bs_nav_gro_2_15709227011
9,Food & Beverage Gifts,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Beverage-Gifts/zgbs/grocery/2255571011/ref=zg_bs_nav_gro_2_15709227011
10,Fresh Flowers & Live Indoor Plants,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fresh-Flowers-Live-Indoor-Plants/zgbs/grocery/3745171/ref=zg_bs_nav_gro_2_15709227011
11,Frozen,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Frozen-Foods/zgbs/grocery/6459122011/ref=zg_bs_nav_gro_2_15709227011
12,Home Brewing & Winemaking,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Home-Brewing-Winemaking/zgbs/grocery/979861011/ref=zg_bs_nav_gro_2_15709227011
13,Meat & Seafood,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Meat-Seafood/zgbs/grocery/371469011/ref=zg_bs_nav_gro_2_15709227011
14,Meat Substitutes,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Meat-Substitutes/zgbs/grocery/6518859011/ref=zg_bs_nav_gro_2_15709227011
15,Pantry Staples,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Pantry-Staples/zgbs/grocery/18787303011/ref=zg_bs_nav_gro_2_15709227011
16,Produce,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Fresh-Produce/zgbs/grocery/6506977011/ref=zg_bs_nav_gro_2_15709227011
17,Snack Foods,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food-Snack-Foods/zgbs/grocery/16322721/ref=zg_bs_nav_gro_2_15709227011
